#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.
68,Por Onde Ando Tenho Você,Vanessa Da Mata,2014-03-25,151,98,58,-6,96,3:38,1,31
69,My Grandmother Told Me (Tchu Bee Doo Bee Doo),Vanessa Da Mata,2014-03-25,185,55,45,-7,38,3:35,25,24
70,Desejos e Medos,Vanessa Da Mata,2014-03-25,112,82,67,-7,77,4:11,5,25
71,Sunshine on My Shoulders,Vanessa Da Mata,2014-03-25,94,61,51,-6,14,4:28,1,26
72,Rebola Nêga,Vanessa Da Mata,2014-03-25,114,90,70,-5,90,2:19,22,24
73,Se o Presente Não Tem Você,Vanessa Da Mata,2014-03-25,109,74,67,-7,85,3:13,2,25
74,Um Sorriso Entre nós Dois,Vanessa Da Mata,2014-03-25,107,81,72,-10,85,4:55,8,24
75,Segue o Som (Remix Leo Breanza e Miller),Vanessa Da Mata,2014-03-25,92,81,67,-6,76,3:33,12,27
76,Lay Low,Cafuné,2015-12-11,115,50,63,-12,31,2:55,0,25
77,Fall Asleep Slow,Cafuné,2015-12-11,140,87,61,-7,82,4:11,0,25
78,Runaways,Cafuné,2015-12-11,107,68,64,-8,46,4:00,1,29
79,Lay Low (Reprise),Cafuné,2015-12-11,115,51,29,-12,6,2:25,0,15
80,This Disorder,The Features,2013-05-14,114,38,89,-8,71,3:07,3,11
81,Fears,MTNS,2013-11-22,140,43,68,-12,17,4:18,12,48
82,At Last,Tandems '91,2014-08-29,125,54,75,-10,83,4:51,2,25
83,Classy Penguin,The Books,2013-10-15,180,59,53,-10,97,4:33,3,32
84,Fall in Love Too Fast,GRiZ,2013,96,84,69,-5,31,4:20,6,43
85,Atonement,The Kickdrums,2013-10-08,158,84,54,-4,52,4:17,0,35
86,my leaving feat. mabanua,Kenichiro Nishihara,2015-05-27,98,88,64,-5,92,3:57,21,38
87,Winter,Oceans of Slumber,2016-03-04,118,88,25,-6,17,7:58,0,29
88,The Fourth Avenue Cafe,L'Arc-en-Ciel,1996,150,83,48,-7,68,5:00,0,38
